일련번호,구분,자치구 코드,자치구 이름,마트 이름,마트 전화번호,마트 주소,마트 홈페이지,주차장 유무
4,마트,380000,은평구,대조 마트,2222-2222,은평구 대조동 서울시 은평구 대조동 98-29,,무
6,마트,140000,중구,롯데슈퍼 신당점,2290-5853,중구 신당3동 서울시 중구 다산로 56(신당동, 남산정은스카이아파트),무
8,마트,140000,중구,롯데슈퍼 명동점,778-5603,중구 명동 서울시 중구 명동8나길 47(충무로1가),,무
10,마트,140000,중구,홈플러스 신당점,2236-8543,중구 신당6동 서울시 중구 다산로 222(신당동),,무
12,마트,470000,양천구,홈플러스 목동점,2644-2080,양천구 목1동 서울시 양천구 목동서로 170(목동),corporate.homeplus.co.kr/store/store_search/store_intro.aspx?store=mokdong2,유
13,마트,470000,양천구,이마트 목동점,6923-1234,양천구 목1동 서울특별시 양천구 962 목동 트라팰리스(지하층) ,emart.shinsegae.com/branch/BRMain01M.asp?JumID=E126,유
14,마트,470000,양천구,이마트 신월점,2697-7123,양천구 신월5동 서울시 양천구 화곡로 59(신월동),emart.shinsegae.com/branch/BRMain01M.asp?JumID=E18,유
18,마트,260000,중랑구,홈플러스 면목점,437-2080,중랑구 면목5동 서울시 중랑구 사가정로 332(면목동),corporate.homeplus.co.kr,유
19,마트,260000,중랑구,홈플러스 신내점,2024-8000,중랑구 신내2동 서울시 중랑구 신내로 201(신내동),corporate.homeplus.co.kr,유
20,마트,260000,중랑구,이마트 상봉점,490-1234,중랑구 망우본동 서울시 중랑구 상봉로 118(망우동),emart.shinsegae.com,유
21,마트,260000,중랑구,코스트코상봉점,439-1144,중랑구 상봉2동 서울시 중랑구 망우로 336(상봉동),costco.co.kr,유
22,마트,260000,중랑구,서울원예농협하나로마트,948-0570,중랑구 묵1동 서울시 중랑구 동일로 842(묵동),seoulwynh.co.kr,유
23,마트,260000,중랑구,동부할인마트,2207-5507,중랑구 상봉2동 서울시 중랑구 망우로32길 23(상봉동),,무
24,마트,260000,중랑구,한샘마트,493-8249,중랑구 망우본동 서울시 중랑구 봉우재로71길 18, 1층 용마프라자(망우동,유
25,마트,260000,중랑구,킴스마트,432-3100,중랑구 면목7동 서울시 중랑구 면목로39길 11(면목동),,유
26,마트,560000,영등포구,코스트코홀세일,2630-2653,영등포구 양평1동 서울시 영등포구 선유로 156(양평동3가),www.costco.co.kr/,유
27,마트,560000,영등포구,빅마켓 영등포점,2165-2510,영등포구 영등포동 서울시 영등포구 영중로 125(영등포동 8가),company.lottemart.com/branch/b_info_new.jsp?commonStoreID=3,유
28,마트,560000,영등포구,홈플러스 영등포점,2165-8000,영등포구 문래동 서울시 영등포구 당산로 42(문래동3가),company.homeplus.co.kr/store/store_search/store_intro.aspx?store=yongdungpo,유
29,마트,560000,영등포구,이마트 여의도점,2280-1050,영등포구 여의도동 서울시 영등포구 여의동로3길 10(여의도동,여의도자이아파트),유
30,마트,560000,영등포구,타임스퀘어,2638-2000,영등포구 영등포동 서울시 영등포구 영중로 15(영등포동4가),www.timessquare.co.kr/,유
31,마트,560000,영등포구,썬프라자,842-0008,영등포구 대림1동 서울시 영등포구 신길로 41(대림동),,유
32,마트,560000,영등포구,이천일아울렛,2631-7700,영등포구 당산2동 서울시 영등포구 양평로 47(당산동5가),www.2001outlet.com/branch/branch_main.asp?xShopCode=7201,유
36,마트,530000,구로구,이마트 구로점,2009-1001,구로구 구로3동 서울시 구로구 디지털로32길 43(구로동),emart.shinsegae.com/,유
37,마트,530000,구로구,홈플러스 신도림점,2618-2080,구로구 신도림동 서울시 구로구 경인로 661(신도림동),www.homeplus.co.kr/,유
38,마트,530000,구로구,이마트 신도림점,6715-1050,구로구 구로5동 서울시 구로구 새말로 97(구로동),emart.shinsegae.com/,유
39,마트,530000,구로구,롯데마트 구로점,2639-2525,구로구 구로1동 서울시 구로구 경인로 482(구로동),company.lottemart.com,유
40,마트,530000,구로구,삼익쇼핑센터,2686-9982,구로구 오류1동 서울시 구로구 경인로 192(오류동),,유
41,마트,530000,구로구,신도림 테크노마트,2111-0121,구로구 구로5동 서울시 구로구 새말로 97(구로동),,유
42,마트,530000,구로구,나인스에비뉴,852-7550,구로구 구로2동 서울시 구로구 구로중앙로 134(구로동,신구로자이나인스에비뉴),유
43,마트,530000,구로구,일이삼전자타운,2617-1237,구로구 고척1동 서울시 구로구 경인로 393-7(고척동),,유
44,마트,530000,구로구,2001아울렛 구로점,2064-2001,구로구 고척1동 서울시 구로구 중앙로1길 36(고척동),,유
45,마트,530000,구로구,사모아종합상가,839-4804,구로구 구로1동 서울시 구로구 구일로10길 93(구로동),,유
46,마트,530000,구로구,개봉프라자,2619-8068,구로구 고척2동 서울시 구로구 고척로40길 19(고척동,개봉청구아파트),유
47,마트,530000,구로구,개봉제일시장,2683-8792,구로구 개봉3동 서울시 구로구 개봉로3길 51(개봉동),,유
48,마트,530000,구로구,개봉중앙시장,2685-6162,구로구 개봉2동 서울시 구로구 개봉로17길 34(개봉동),,유
49,마트,530000,구로구,구로시장,830-8231,구로구 구로4동 서울시 구로구 구로동로22길 20-27(구로동),,무
50,마트,530000,구로구,오류시장,2611-3888,구로구 오류1동 서울시 구로구 경인로19가길 14-1(오류동),,무
51,마트,710000,송파구,홈플러스 잠실점,3468-8122,송파구 잠실6동 서울시 송파구 올림픽로35가길 16(신천동),company.homeplus.co.kr/store/store_search/store_intro.aspx?store=jamsil,유
52,마트,710000,송파구,롯데마트 월드점,411-8410,송파구 잠실3동 서울시 송파구 올림픽로 240(잠실동),company.lottemart.com/branch/b_info_new.jsp?commonStoreID=4,유
53,마트,710000,송파구,롯데마트 송파점,2006-7710,송파구 문정2동 서울시 송파구 중대로 80(문정동),company.lottemart.com/branch/b_info_new.jsp?commonStoreID=81,유
55,마트,305000,강북구,수유시장,980-2626,강북구 수유1동 서울시 강북구 도봉로67길 18(수유동),,유
56,마트,305000,강북구,숭인시장,988-1430,강북구 송천동 서울시 강북구 도봉로 45(미아동),,유
57,마트,305000,강북구,번동북부시장,902-1683,강북구 번1동 서울시 강북구 한천로123길 26(번동),,유
58,마트,305000,강북구,수유중앙시장,902-1353,강북구 수유3동 서울시 강북구 노해로 17길 21(수유동),,유
59,마트,305000,강북구,우이시장,993-0240,강북구 수유2동 서울시 강북구 노해로 23길 68(수유동),,무
60,마트,305000,강북구,수유북부시장,903-5546,강북구 인수동 서울시 강북구 삼양로 91길 11-12(수유동),,유
61,마트,305000,강북구,강북종합시장,995-5405,강북구 수유3동 서울시 강북구 한천로 148길 12-43(수유동),,유
62,마트,305000,강북구,삼양시장,985-5678,강북구 삼양동 서울시 강북구 솔매로 52(미아동),,유
63,마트,305000,강북구,동북시장,989-0403,강북구 삼양동 서울시 강북구 솔샘로 233(미아동),,유
64,마트,305000,강북구,수유골목시장,989-4730,강북구 수유1동 서울시 강북구 도봉로67길 18(수유동),,무
65,마트,305000,강북구,수유재래시장,987-6380,강북구 수유1동 서울시 강북구 도봉로67길 13(미아동),,무
66,마트,305000,강북구,수유프라자,982-2278,강북구 수유1동 서울시 강북구 도봉로 261(수유동,삼호가든아파트),유
68,마트,305000,강북구,롯데슈퍼,981-5601,강북구 수유1동 서울시 강북구 도봉로 67길 18(수유동),,유
69,마트,305000,강북구,GS슈퍼,988-5103,강북구 번2동 서울시 강북구 덕릉로 176(번동),,유
70,마트,305000,강북구,홈플러스익스프레스,980-8547,강북구 송중동 서울시 강북구 도봉로 172(미아동),,무
71,마트,305000,강북구,E마트에브리데이,3281-3651,강북구 송천동 서울시 강북구 도봉로 157(미아동,두원프라자),무
72,마트,305000,강북구,트레지오,986-7000,강북구 송중동 서울시 강북구 도봉로 34(미아동),,유
73,마트,545000,금천구,홈플러스 독산점,895-8545,금천구 독산1동 서울시 금천구 독산로 210(독산동),,유
74,마트,545000,금천구,홈플러스 시흥점,891-8515,금천구 시흥1동 서울시 금천구 독산로 56(시흥동),,유
75,마트,260000,중랑구,진흥마켓,439-0600,중랑구 면목본동 서울시 중랑구 면목로74길 45(면목동),,무
76,마트,260000,중랑구,동원마트,495-1972~3,중랑구 면목본동 서울시 중랑구 상봉로15가길 36(면목동),,유
78,마트,500000,강서구,이마트 가양점,2101-1050,강서구 가양3동 서울시 강서구 양천로 559(가양동),http://www.emart.com/branch/info/info.jsp?id=380,유
79,마트,500000,강서구,홈플러스 가양점,3663-9400,강서구 가양2동 서울시 강서구 양천로 431(가양동),http://company.homeplus.co.kr/store/store_search/store_intro.aspx?store=kangseo2,유
80,마트,500000,강서구,이마트 공항점,2166-1050,강서구 공항동 서울시 강서구 하늘길 75(과해동),http://www.emart.com/branch/info/info.jsp?id=670,유
81,마트,500000,강서구,홈플러스 강서점,3665-7756,강서구 등촌1동 서울시 강서구 양천로 431(가양동),http://company.homeplus.co.kr/store/store_search/store_intro.aspx?store=kangseo,유
83,마트,290000,성북구,이마트 미아점,944-1234,성북구 길음2동 서울시 성북구 도봉로 17(길음동),,유
84,마트,290000,성북구,코코마트,943-4042,성북구 장위2동 서울시 성북구 장위로38길 16(장위동),,유
85,마트,545000,금천구,롯데마트 금천점,809-2500,금천구 독산1동 서울시 금천구 두산로 71(독산동),,유
86,마트,290000,성북구,동소문스카이프라자,922-4414,성북구 돈암2동 서울시 성북구 성북로4길 55(성북동),,유
87,마트,200000,성동구,이마트 성수점,3408-1053,성동구 성수2가1동 서울시 성동구 뚝섬로 377(성수동2가),emart.shinsegae.com/,유
88,마트,200000,성동구,이마트 왕십리점,2200-1234,성동구 행당1동 서울시 성동구 뚝섬로 377(성수동2가),emart.shinsegae.com/,유
89,마트,200000,성동구,한진종합상가,2281-7003,성동구 행당2동 서울시 성동구 행당로6길 97(행당동),,유
90,마트,200000,성동구,대림리빙프라자,2297-6205,성동구 행당2동 서울시 성동구 행당로 75(행당동),,유
91,마트,200000,성동구,성동삼성쉐르빌상가 ,3395-9336,성동구 왕십리도선동 서울시 성동구 무학로6길 50(도선동,삼성쉐르빌),유
92,마트,200000,성동구,한남하이츠상가,2297-2484,성동구 옥수동 서울시 성동구 독서당로 156(옥수동,한남하이츠아파트),유
93,마트,200000,성동구,ENTER-6,511-8588,성동구 행당1동 서울시 성동구 뚝섬로 377(성수동2가),www.enter6.co.kr,유
94,마트,320000,도봉구,롯데마트 도봉점,2289-1543,도봉구 방학1동 서울시 도봉구 마들로 645(방학동),,유
95,마트,320000,도봉구,홈플러스 방학점,2289-5500,도봉구 방학1동 서울시 도봉구 도봉로678(방학동),,유
96,마트,320000,도봉구,농협창동물류센터,3499-6067,도봉구 창4동 서울시 도봉구 마들로11길20(창동),,유
97,마트,320000,도봉구,이마트 창동점,901-1051,도봉구 창5동 서울시 도봉구 노해로65길 4(창동),,유
98,마트,215000,광진구,노룬산시장,463-7521,광진구 자양4동 서울시 광진구 뚝섬로 491(자양동),,무
99,마트,215000,광진구,조양시장,463-5611,광진구 자양4동 서울시 광진구 아차산로30길 39(자양동),,무
100,마트,215000,광진구,중곡제일시장,467-0254,광진구 중곡1동 서울시 광진구 긴고랑로11길 11(중곡동),,무
101,마트,215000,광진구,구의시장,457-8045,광진구 구의2동 서울시 광진구 구의2동 66-28,,무
102,마트,215000,광진구,신성종합시장,444-1707,광진구 중곡4동 서울시 광진구 영화사로 10(중곡동),,무
